
2024-01-04 21:14:23 INFO  Formula1Scraper:15 - Start scraping fromhttps://www.formula1.com/en/results.html/2023/races/1226/abu-dhabi/race-result.html
2024-01-07 21:09:35 INFO  RacesScraper:14 - Scrapowanie informacji z: https://www.formula1.com/en/results.html/2023/races.html
2024-01-07 21:09:36 INFO  RacesScraper:19 - OK
2024-01-07 21:14:49 INFO  RacesScraper:17 - Scrapowanie informacji z: https://www.formula1.com/en/results.html/2023/races.html
2024-01-07 21:14:49 INFO  RacesScraper:22 - OK
2024-01-07 21:17:13 INFO  RacesScraper:17 - Scrapowanie informacji z: https://www.formula1.com/en/results.html/2023/races.html
2024-01-07 21:17:13 INFO  RacesScraper:22 - OK
2024-01-07 21:21:29 INFO  RacesScraper:17 - Scrapowanie informacji z: https://www.formula1.com/en/results.html/2023/races.html
2024-01-07 21:21:30 INFO  RacesScraper:22 - OK
2024-01-07 21:29:41 INFO  RacesScraper:17 - Scrapowanie informacji z: https://www.formula1.com/en/results.html/2023/races.html
2024-01-07 21:29:42 INFO  RacesScraper:22 - OK
2024-01-07 21:58:01 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
2024-01-07 21:58:06 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/valtteri-bottas.html
2024-01-07 21:58:12 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/nico-hulkenberg.html
2024-01-08 14:04:47 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
2024-01-08 14:08:02 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
2024-01-08 14:08:02 ERROR RacesScraper:171 - Nie udało się wczytać obrazu: max-verstappen
2024-01-08 14:09:02 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
2024-01-08 14:09:02 ERROR RacesScraper:171 - Nie udało się wczytać obrazu: max-verstappen.jpg
2024-01-08 14:18:16 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
2024-01-08 14:20:04 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
2024-01-08 14:20:11 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/oscar-piastri.html
2024-01-08 14:20:27 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/lewis-hamilton.html
2024-01-08 14:20:38 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/lando-norris.html
2024-01-08 14:21:06 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/yuki-tsunoda.html
2024-01-08 14:43:34 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
2024-01-08 14:49:44 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/max-verstappen.html
